STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
64…274,2999144,C,1,731,A,64,1
64…274,1420113,C,1,730,A,64,1
64…274,1999111,C,2,717,A,64,1
64…274,1355102,C,3,708,B,64,1
64…274,1999021,C,3,702,B+,64,1
64…274,1420111,C,3,701,C+,64,1
64…274,1417167,C,3,700,C+,64,1
64…274,2204171,C,3,700,D+,64,1
64…274,1355101,C,3,99,P,64,1
64…275,2999144,C,1,731,A,64,1
64…275,3751111,C,3,701,A,64,1
64…275,1420113,C,1,731,A,64,1
64…275,1999111,C,2,717,A,64,1
64…275,1417167,C,3,700,B,64,1
64…275,1999021,C,3,702,B+,64,1
64…275,1420111,C,3,701,B+,64,1
64…275,1355102,C,3,708,C+,64,1
64…275,2204171,C,3,700,C+,64,1
64…275,1355101,C,3,99,P,64,1
64…276,2999144,C,1,731,A,64,1
64…276,3751111,C,3,701,A,64,1
64…276,1999111,C,2,717,A,64,1
64…276,1999021,C,3,702,B,64,1
64…276,2204171,C,3,700,B,64,1
64…276,1420111,C,3,701,B+,64,1
64…276,1417167,C,3,700,C,64,1
64…276,1420113,C,1,730,C+,64,1
64…276,1355102,C,3,708,C+,64,1
64…276,1355101,C,3,99,P,64,1
64…277,2999144,C,1,731,A,64,1
64…277,1420113,C,1,731,A,64,1
64…277,1999111,C,2,717,A,64,1
64…277,1355102,C,3,708,C,64,1
64…277,2204171,C,3,700,D,64,1
64…277,1417167,C,3,700,D,64,1
64…277,1999021,C,3,702,D+,64,1
64…277,1420111,C,3,701,D+,64,1
64…277,1355101,C,3,99,P,64,1
64…278,2999144,C,1,731,A,64,1
64…278,1999111,C,2,717,A,64,1
64…278,1420113,C,1,731,B+,64,1
64…278,2204171,C,3,700,B+,64,1
64…278,1420111,C,3,701,C,64,1
64…278,1999021,C,3,702,C+,64,1
64…278,1355102,C,3,708,C+,64,1
64…278,1417167,C,3,700,D+,64,1
64…278,1355101,C,3,99,P,64,1
64…279,2999144,C,1,731,A,64,1
64…279,1999021,C,3,702,A,64,1
64…279,1420113,C,1,730,A,64,1
64…279,1999111,C,2,717,A,64,1
64…279,1355102,C,3,708,B,64,1
64…279,2204171,C,3,700,C,64,1
64…279,1420111,C,3,701,C+,64,1
64…279,1417167,C,3,700,D+,64,1
64…279,1355101,C,3,99,P,64,1
64…280,2999144,C,1,731,A,64,1
64…280,1999111,C,2,717,A,64,1
64…280,1355101,C,3,709,C,64,1
64…280,1420113,C,1,730,D,64,1
64…280,1999021,C,3,702,D+,64,1
64…280,1420111,C,3,701,F,64,1
64…280,2204171,C,3,700,F,64,1
64…280,1417167,C,3,700,F,64,1
64…281,2999144,C,1,731,A,64,1
64…281,1420113,C,1,731,A,64,1
64…281,1999111,C,2,717,A,64,1
64…281,1355101,C,3,709,B,64,1
64…281,1999021,C,3,702,B+,64,1
64…281,2204171,C,3,700,C,64,1
64…281,1420111,C,3,701,D+,64,1
64…281,1417167,C,3,700,D+,64,1
64…282,2999144,C,1,731,A,64,1
64…282,3751111,C,3,701,A,64,1
64…282,1420113,C,1,731,A,64,1
64…282,1999111,C,2,717,A,64,1
64…282,1999021,C,3,702,B,64,1
64…282,2204171,C,3,700,B,64,1
64…282,1420111,C,3,701,B+,64,1
64…282,1355102,C,3,708,C+,64,1
64…282,1417167,C,3,700,C+,64,1
64…282,1355101,C,3,99,P,64,1
64…283,2999144,C,1,731,A,64,1
64…283,1420113,C,1,731,A,64,1
64…283,1420111,C,3,701,A,64,1
64…283,1999111,C,2,717,A,64,1
64…283,1355101,C,3,709,C,64,1
64…283,2204171,C,3,700,C,64,1
64…283,1417167,C,3,700,C+,64,1
64…283,1999021,C,3,702,D+,64,1
64…284,2999144,C,1,731,A,64,1
64…284,1420113,C,1,731,A,64,1
64…284,1999111,C,2,717,A,64,1
64…284,1999021,C,3,702,B,64,1
64…284,1420111,C,3,701,B,64,1
64…284,1355102,C,3,708,B,64,1
64…284,1417167,C,3,700,C+,64,1
64…284,2204171,C,3,700,D,64,1
64…284,1355101,C,3,99,P,64,1
64…285,2999144,C,1,731,A,64,1
64…285,3751111,C,3,701,A,64,1
64…285,1420111,C,3,701,A,64,1
64…285,1420113,C,1,730,A,64,1
64…285,1999111,C,2,717,A,64,1
64…285,1355101,C,3,709,B,64,1
64…285,1417167,C,3,700,B,64,1
64…285,1999021,C,3,702,B+,64,1
64…285,2204171,C,3,700,C+,64,1
64…286,2999144,C,1,731,A,64,1
64…286,1420113,C,1,731,A,64,1
64…286,1999111,C,2,717,A,64,1
64…286,1999021,C,3,702,B,64,1
64…286,1355101,C,3,709,B,64,1
64…286,2204171,C,3,700,B,64,1
64…286,1420111,C,3,701,C+,64,1
64…286,1417167,C,3,700,C+,64,1
64…287,2999144,C,1,731,A,64,1
64…287,3751111,C,3,701,A,64,1
64…287,1420113,C,1,731,A,64,1
64…287,1999111,C,2,717,A,64,1
64…287,1417167,C,3,700,B,64,1
64…287,1999021,C,3,702,B+,64,1
64…287,1420111,C,3,701,B+,64,1
64…287,2204171,C,3,700,C,64,1
64…287,1355102,C,3,708,C+,64,1
64…287,1355101,C,3,99,P,64,1
64…288,2999144,C,1,731,A,64,1
64…288,1420113,C,1,731,A,64,1
64…288,1999111,C,2,717,A,64,1
64…288,1355101,C,3,709,B,64,1
64…288,1999021,C,3,702,C,64,1
64…288,1420111,C,3,701,C+,64,1
64…288,2204171,C,3,700,D+,64,1
64…288,1417167,C,3,700,D+,64,1
64…289,2999144,C,1,731,A,64,1
64…289,1999111,C,2,717,A,64,1
64…289,1420113,C,1,730,B,64,1
64…289,1355101,C,3,709,B,64,1
64…289,2204171,C,3,700,B+,64,1
64…289,1420111,C,3,701,C,64,1
64…289,1999021,C,3,702,C+,64,1
64…289,1417167,C,3,700,D+,64,1
64…290,2999144,C,1,731,A,64,1
64…290,1420113,C,1,731,A,64,1
64…290,1999111,C,2,717,A,64,1
64…290,1417167,C,3,700,B,64,1
64…290,1999021,C,3,702,B+,64,1
64…290,1420111,C,3,701,B+,64,1
64…290,1355102,C,3,708,C+,64,1
64…290,2204171,C,3,700,D+,64,1
64…290,1355101,C,3,99,P,64,1
64…291,2999144,C,1,731,A,64,1
64…291,1999021,C,3,702,A,64,1
64…291,1420113,C,1,731,A,64,1
64…291,1999111,C,2,717,A,64,1
64…291,1420111,C,3,701,B,64,1
64…291,1417167,C,3,700,B+,64,1
64…291,1355102,C,3,708,C+,64,1
64…291,2204171,C,3,700,D,64,1
64…291,1355101,C,3,99,P,64,1
64…292,2999144,C,1,731,A,64,1
64…292,1420113,C,1,730,A,64,1
64…292,1999111,C,2,717,A,64,1
64…292,1355103,C,3,706,A,64,1
64…292,1999021,C,3,702,B+,64,1
64…292,1420111,C,3,701,B+,64,1
64…292,1417167,C,3,700,C,64,1
64…292,2204171,C,3,700,D,64,1
64…292,1355101,C,3,99,P,64,1
64…292,1355102,C,3,99,P,64,1
64…293,2999144,C,1,731,A,64,1
64…293,1420113,C,1,731,A,64,1
64…293,1999111,C,2,717,A,64,1
64…293,1999021,C,3,702,B,64,1
64…293,1420111,C,3,701,C+,64,1
64…293,1355102,C,3,708,C+,64,1
64…293,1417167,C,3,700,C+,64,1
64…293,2204171,C,3,700,D+,64,1
64…293,1355101,C,3,99,P,64,1
64…294,2999144,C,1,731,A,64,1
64…294,3751111,C,3,701,A,64,1
64…294,1420113,C,1,731,A,64,1
64…294,1999111,C,2,717,A,64,1
64…294,1999021,C,3,702,B,64,1
64…294,2204171,C,3,700,B,64,1
64…294,1417167,C,3,700,B,64,1
64…294,1420111,C,3,701,B+,64,1
64…294,1355102,C,3,708,C+,64,1
64…294,1355101,C,3,99,P,64,1
64…295,2999144,C,1,731,A,64,1
64…295,3751111,C,3,701,A,64,1
64…295,1999111,C,2,717,A,64,1
64…295,1999021,C,3,702,B,64,1
