STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
64…274,1420112,C,3,700,A,64,2
64…274,1175165,C,1,714,A,64,2
64…274,1420114,C,1,715,A,64,2
64…274,2204121,C,3,700,B,64,2
64…274,2204172,C,1,712,B,64,2
64…274,2708102,C,3,702,B,64,2
64…274,2204122,C,1,712,B+,64,2
64…274,1417168,C,3,702,C,64,2
64…274,2204111,C,3,700,C+,64,2
64…274,1355103,C,3,705,C+,64,2
64…275,1420114,C,1,716,A,64,2
64…275,1420112,C,3,700,A,64,2
64…275,1175165,C,1,722,A,64,2
64…275,2204122,C,1,711,A,64,2
64…275,2708102,C,3,702,A,64,2
64…275,2204121,C,3,700,B,64,2
64…275,2204172,C,1,711,B,64,2
64…275,1355103,C,3,705,B+,64,2
64…275,2204111,C,3,700,C,64,2
64…275,1417168,C,3,702,C,64,2
64…276,1420112,C,3,700,A,64,2
64…276,1175165,C,1,722,A,64,2
64…276,2204122,C,1,712,A,64,2
64…276,1420114,C,1,715,A,64,2
64…276,2708102,C,3,702,A,64,2
64…276,1355103,C,3,704,B,64,2
64…276,2204172,C,1,712,B,64,2
64…276,2204111,C,3,700,C,64,2
64…276,1417168,C,3,702,C,64,2
64…276,2204121,C,3,700,C+,64,2
64…278,1420112,C,3,700,B,64,2
64…278,2204121,C,3,700,B+,64,2
64…278,2204122,C,1,711,B+,64,2
64…278,1420114,C,1,715,B+,64,2
64…278,2204111,C,3,700,C,64,2
64…278,1355103,C,3,705,C,64,2
64…278,2708102,C,3,702,C,64,2
64…278,1417168,C,3,702,C+,64,2
64…278,2204172,C,1,711,C+,64,2
64…278,1175165,C,1,722,W,64,2
64…279,1175165,C,1,714,A,64,2
64…279,1420114,C,1,715,A,64,2
64…279,2708102,C,3,702,A,64,2
64…279,2204121,C,3,700,B,64,2
64…279,1420112,C,3,700,B+,64,2
64…279,2204122,C,1,712,B+,64,2
64…279,1355103,C,3,705,C,64,2
64…279,2204111,C,3,700,C+,64,2
64…279,2204172,C,1,712,C+,64,2
64…279,1417168,C,3,702,D+,64,2
64…280,1175114,C,1,711,A,64,2
64…280,2708102,C,3,702,B,64,2
64…280,2204111,C,3,700,C,64,2
64…280,2204121,C,3,700,C,64,2
64…280,1420111,C,3,701,C,64,2
64…280,2204122,C,1,712,D,64,2
64…280,2204101,C,3,700,D,64,2
64…280,1417167,C,3,700,D,64,2
64…281,1420112,C,3,700,A,64,2
64…281,1175165,C,1,714,A,64,2
64…281,2204122,C,1,712,A,64,2
64…281,1420114,C,1,715,A,64,2
64…281,1355102,C,3,703,B,64,2
64…281,2708102,C,3,702,B+,64,2
64…281,2204111,C,3,700,C,64,2
64…281,2204172,C,1,712,C,64,2
64…281,2204121,C,3,700,C+,64,2
64…281,1417168,C,3,702,C+,64,2
64…282,1355103,C,3,704,A,64,2
64…282,1200101,C,3,701,A,64,2
64…282,2204121,C,3,700,B,64,2
64…282,2204172,C,1,712,B,64,2
64…282,1420112,C,3,700,B+,64,2
64…282,2204122,C,1,712,B+,64,2
64…282,2204111,C,3,700,C,64,2
64…282,1175165,C,1,722,C,64,2
64…282,1417168,C,3,702,C,64,2
64…282,1420114,C,1,715,C+,64,2
64…283,1175165,C,1,714,A,64,2
64…283,1420114,C,1,715,A,64,2
64…283,1420112,C,3,700,B+,64,2
64…283,2204122,C,1,711,B+,64,2
64…283,2708102,C,3,702,B+,64,2
64…283,2204111,C,3,700,C,64,2
64…283,1417168,C,3,702,C,64,2
64…283,2204172,C,1,711,C,64,2
64…283,2204121,C,3,700,C+,64,2
64…284,1175165,C,1,722,A,64,2
64…284,1420114,C,1,715,A,64,2
64…284,1387102,C,3,700,A,64,2
64…284,2204121,C,3,700,B,64,2
64…284,2204122,C,1,711,B,64,2
64…284,1420112,C,3,700,B+,64,2
64…284,1417168,C,3,702,C,64,2
64…284,1355103,C,3,705,C+,64,2
64…284,2204111,C,3,700,D+,64,2
64…284,2204172,C,1,711,D+,64,2
64…285,1175165,C,1,724,A,64,2
64…285,1420112,C,3,700,A,64,2
64…285,2204122,C,1,712,A,64,2
64…285,1420114,C,1,715,A,64,2
64…285,2708102,C,3,702,A,64,2
64…285,2204121,C,3,700,B,64,2
64…285,1417168,C,3,702,B,64,2
64…285,1355102,C,3,703,B,64,2
64…285,2204111,C,3,700,C,64,2
64…285,2204172,C,1,712,C+,64,2
64…286,2204122,C,1,712,A,64,2
64…286,2708102,C,3,702,A,64,2
64…286,2204121,C,3,700,B,64,2
64…286,1420112,C,3,700,B+,64,2
64…286,1420114,C,1,731,B+,64,2
64…286,2204111,C,3,700,C+,64,2
64…286,2204172,C,1,712,C+,64,2
64…286,1417168,C,3,702,D+,64,2
64…286,1355102,C,3,705,W,64,2
64…287,1420114,C,1,716,A,64,2
64…287,1420112,C,3,700,A,64,2
64…287,1175165,C,1,722,A,64,2
64…287,2204121,C,3,700,B,64,2
64…287,2708102,C,3,702,B,64,2
64…287,2204122,C,1,711,B+,64,2
64…287,1355103,C,3,705,B+,64,2
64…287,1417168,C,3,702,C,64,2
64…287,2204172,C,1,711,C+,64,2
64…287,2204111,C,3,700,D+,64,2
64…288,1175165,C,1,714,A,64,2
64…288,1420114,C,1,715,A,64,2
64…288,2204121,C,3,700,B,64,2
64…288,1420112,C,3,700,B+,64,2
64…288,2204122,C,1,712,B+,64,2
64…288,2708102,C,3,702,B+,64,2
64…288,2204111,C,3,700,C,64,2
64…288,1417168,C,3,702,C+,64,2
64…288,1355102,C,3,703,C+,64,2
64…288,2204172,C,1,712,D+,64,2
64…289,1175165,C,1,725,A,64,2
64…289,2204122,C,1,712,A,64,2
64…289,3751111,C,3,701,A,64,2
64…289,2204111,C,3,700,B,64,2
64…289,1355102,C,3,703,B,64,2
64…289,1420114,C,1,715,B+,64,2
64…289,1420112,C,3,700,C+,64,2
64…289,2204121,C,3,700,C+,64,2
64…289,2204172,C,1,712,C+,64,2
64…289,1417168,C,3,702,D+,64,2
64…290,1420114,C,1,716,A,64,2
64…290,1175165,C,1,722,A,64,2
64…290,2204121,C,3,700,B,64,2
64…290,2204122,C,1,711,B,64,2
64…290,1355103,C,3,705,B,64,2
64…290,1420112,C,3,700,B+,64,2
64…290,2204111,C,3,700,C,64,2
64…290,1417168,C,3,702,C,64,2
64…290,2204172,C,1,711,C+,64,2
64…290,2708102,C,3,702,C+,64,2
64…291,1175119,C,1,711,A,64,2
64…291,2204121,C,3,700,B,64,2
64…291,2204122,C,1,711,B,64,2
64…291,1355103,C,3,704,B,64,2
64…291,2708102,C,3,702,B,64,2
64…291,1420112,C,3,700,B+,64,2
64…291,1420114,C,1,731,B+,64,2
64…291,2204111,C,3,700,C,64,2
64…291,1417168,C,3,702,C,64,2
64…291,2204172,C,1,711,C,64,2
64…292,1175143,C,1,713,A,64,2
64…292,1420112,C,3,700,A,64,2
64…292,2204122,C,1,711,A,64,2
64…292,1355209,C,3,701,A,64,2
64…292,1420114,C,1,715,A,64,2
64…292,1387102,C,3,700,A,64,2
64…292,2204121,C,3,700,B,64,2
64…292,2204111,C,3,700,C,64,2
64…292,1417168,C,3,702,C+,64,2
64…292,2204172,C,1,711,C+,64,2
64…293,1175165,C,1,722,A,64,2
64…293,1420114,C,1,715,A,64,2
64…293,1387102,C,3,700,A,64,2
64…293,2204121,C,3,700,B,64,2
64…293,2204122,C,1,711,B,64,2
64…293,1420112,C,3,700,B+,64,2
64…293,1417168,C,3,702,C,64,2
64…293,1355103,C,3,705,C+,64,2
64…293,2204111,C,3,700,D,64,2
64…293,2204172,C,1,711,D+,64,2
64…294,1420114,C,1,716,A,64,2
64…294,1420112,C,3,700,A,64,2
64…294,1175165,C,1,722,A,64,2
64…294,2708102,C,3,702,A,64,2
64…294,2204121,C,3,700,B,64,2
64…294,2204122,C,1,711,B,64,2
64…294,1355103,C,3,705,B,64,2
64…294,2204172,C,1,711,B+,64,2
64…294,1417168,C,3,702,C,64,2
64…294,2204111,C,3,700,D+,64,2
64…295,1175123,C,1,712,A,64,2
64…295,2204122,C,1,712,A,64,2
64…295,2204121,C,3,700,B,64,2
64…295,1355102,C,3,703,B,64,2
