STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
62…147,2204341,C,3,700,B,64,2
62…147,2204372,C,3,700,D,64,2
62…147,2204412,C,3,700,D,64,2
62…147,2206111,C,3,702,D,64,2
62…147,2204497,C,1,700,F,64,2
62…147,2999045,C,3,700,F,64,2
62…147,2204232,C,3,700,F,64,2
62…148,2204497,C,1,700,A,64,2
62…148,1999213,C,3,703,A,64,2
62…148,2714101,C,3,701,A,64,2
62…148,2204372,C,3,700,B,64,2
62…148,2204341,C,3,700,B+,64,2
62…148,2206111,C,3,701,C,64,2
62…148,2204371,C,3,700,C+,64,2
62…148,2204461,C,3,700,C+,64,2
62…149,2204497,C,1,700,A,64,2
62…149,2204341,C,3,700,B,64,2
62…149,2204371,C,3,700,C,64,2
62…149,1420111,C,3,701,C+,64,2
62…149,2206111,C,3,701,D,64,2
62…149,2204223,C,3,700,D+,64,2
62…149,2204372,C,3,700,D+,64,2
62…150,2204497,C,1,700,A,64,2
62…150,1999213,C,3,703,A,64,2
62…150,2714101,C,3,701,A,64,2
62…150,2204372,C,3,700,C,64,2
62…150,2204341,C,3,700,C,64,2
62…150,2204472,C,3,700,C+,64,2
62…150,2204371,C,3,700,D,64,2
62…150,2206111,C,3,701,D+,64,2
62…152,2204497,C,1,700,A,64,2
62…152,2714101,C,3,703,A,64,2
62…152,2204372,C,3,700,B,64,2
62…152,2204412,C,3,700,B,64,2
62…152,2204232,C,3,700,B,64,2
62…152,2204341,C,3,700,B,64,2
62…152,2204172,C,1,711,B+,64,2
62…152,2206111,C,3,702,C,64,2
62…153,2204497,C,1,700,A,64,2
62…153,1999041,C,3,700,A,64,2
62…153,2204372,C,3,700,B,64,2
62…153,2204341,C,3,700,B+,64,2
62…153,2204472,C,3,700,C,64,2
62…153,2204371,C,3,700,C+,64,2
62…153,2206111,C,3,701,D+,64,2
62…155,2204497,C,1,700,A,64,2
62…155,2204223,C,3,700,C,64,2
62…155,2204371,C,3,700,C,64,2
62…155,2204372,C,3,700,C+,64,2
62…155,2204281,C,3,700,C+,64,2
62…155,2204232,C,3,700,D+,64,2
62…155,2206111,C,3,702,D+,64,2
62…156,2204497,C,1,700,A,64,2
62…156,2204412,C,3,700,A,64,2
62…156,1200101,C,3,701,A,64,2
62…156,2204341,C,3,700,B+,64,2
62…156,2204371,C,3,700,C,64,2
62…156,2204372,C,3,700,C,64,2
62…156,2204232,C,3,700,C,64,2
62…156,2206111,C,3,702,D+,64,2
62…157,2204497,C,1,700,A,64,2
62…157,2204372,C,3,700,A,64,2
62…157,1999213,C,3,703,A,64,2
62…157,2204341,C,3,700,A,64,2
62…157,2714101,C,3,701,A,64,2
62…157,2204472,C,3,700,A,64,2
62…157,2206111,C,3,701,C,64,2
62…157,2204371,C,3,700,C+,64,2
62…158,1175143,C,1,713,A,64,2
62…158,2204497,C,1,700,A,64,2
62…158,1420114,C,1,730,A,64,2
62…158,2204341,C,3,700,B,64,2
62…158,2204371,C,3,700,C,64,2
62…158,2206111,C,3,702,C,64,2
62…158,2204372,C,3,700,C+,64,2
62…158,2204412,C,3,700,C+,64,2
62…158,2204232,C,3,700,C+,64,2
62…159,2204497,C,1,700,A,64,2
62…159,2204372,C,3,700,A,64,2
62…159,1999213,C,3,703,A,64,2
62…159,2714101,C,3,703,A,64,2
62…159,2204472,C,3,700,A,64,2
62…159,2204341,C,3,700,B,64,2
62…159,2204371,C,3,700,C+,64,2
62…159,2206111,C,3,701,D+,64,2
62…160,2204497,C,1,700,A,64,2
62…160,1999213,C,3,703,A,64,2
62…160,2204371,C,3,700,B+,64,2
62…160,2204461,C,3,700,B+,64,2
62…160,2204372,C,3,700,C,64,2
62…160,2204341,C,3,700,C,64,2
62…160,2206111,C,3,701,C,64,2
62…160,2204451,C,3,700,W,64,2
62…161,2204497,C,1,700,A,64,2
62…161,2204461,C,3,700,A,64,2
62…161,1999041,C,3,700,A,64,2
62…161,2204341,C,3,700,A,64,2
62…161,2204371,C,3,700,B,64,2
62…161,2204372,C,3,700,C+,64,2
62…161,2206111,C,3,701,D+,64,2
62…162,2204497,C,1,700,A,64,2
62…162,2204461,C,3,700,B+,64,2
62…162,2204341,C,3,700,C,64,2
62…162,2206111,C,3,701,C,64,2
62…162,2204371,C,3,700,C+,64,2
62…162,2204372,C,3,700,C+,64,2
62…162,2204451,C,3,700,W,64,2
62…164,2204497,C,1,700,A,64,2
62…164,2204472,C,3,700,B,64,2
62…164,1420114,C,1,730,B+,64,2
62…164,2204372,C,3,700,C,64,2
62…164,2204341,C,3,700,C+,64,2
62…164,2204371,C,3,700,D+,64,2
62…164,2204232,C,3,700,D+,64,2
62…164,2206111,C,3,702,D+,64,2
62…166,2204497,C,1,700,A,64,2
62…166,2204341,C,3,700,B,64,2
62…166,2204472,C,3,700,B,64,2
62…166,2204371,C,3,700,C,64,2
62…166,2204223,C,3,700,C+,64,2
62…166,2204372,C,3,700,C+,64,2
62…166,2206111,C,3,701,D+,64,2
62…166,2204451,C,3,700,W,64,2
62…167,2204497,C,1,700,A,64,2
62…167,2204461,C,3,700,A,64,2
62…167,2204341,C,3,700,A,64,2
62…167,2204371,C,3,700,B,64,2
62…167,2204372,C,3,700,B,64,2
62…167,2204412,C,3,700,B+,64,2
62…167,2206111,C,3,701,C,64,2
62…168,2204497,C,1,700,A,64,2
62…168,2714101,C,3,703,A,64,2
62…168,2204341,C,3,700,B,64,2
62…168,2204372,C,3,700,C+,64,2
62…168,2204472,C,3,700,C+,64,2
62…168,2204371,C,3,700,D+,64,2
62…168,2206111,C,3,701,D+,64,2
62…169,2204497,C,1,700,A,64,2
62…169,2204341,C,3,700,B,64,2
62…169,2204372,C,3,700,C,64,2
62…169,2206111,C,3,701,C,64,2
62…169,2204371,C,3,700,C+,64,2
62…169,2204472,C,3,700,C+,64,2
62…169,2204223,C,3,700,D+,64,2
62…170,2204497,C,1,700,A,64,2
62…170,2204472,C,3,700,A,64,2
62…170,2204341,C,3,700,B,64,2
62…170,1999041,C,3,700,B+,64,2
62…170,2204371,C,3,700,C,64,2
62…170,2204372,C,3,700,C,64,2
62…170,2204232,C,3,700,D+,64,2
62…170,2206111,C,3,702,D+,64,2
62…171,2204497,C,1,700,A,64,2
62…171,1200101,C,3,701,A,64,2
62…171,2204372,C,3,700,B,64,2
62…171,2204341,C,3,700,B,64,2
62…171,1420112,C,3,700,C+,64,2
62…171,2204371,C,3,700,D+,64,2
62…171,2206111,C,3,701,D+,64,2
62…171,2204451,C,3,700,W,64,2
62…172,2204497,C,1,700,A,64,2
62…172,1420114,C,1,730,A,64,2
62…172,2204341,C,3,700,B+,64,2
62…172,2204371,C,3,700,C,64,2
62…172,2204232,C,3,700,C,64,2
62…172,2206111,C,3,702,C,64,2
62…172,2204372,C,3,700,C+,64,2
62…172,2204412,C,3,700,D+,64,2
62…173,2204497,C,1,700,A,64,2
62…173,1200101,C,3,701,A,64,2
62…173,2204341,C,3,700,B,64,2
62…173,2204371,C,3,700,C,64,2
62…173,2204232,C,3,700,C,64,2
62…173,2204412,C,3,700,C+,64,2
62…173,2204372,C,3,700,D,64,2
62…173,2206111,C,3,702,D,64,2
62…174,2204371,C,3,700,A,64,2
62…174,2204497,C,1,700,A,64,2
62…174,2204451,C,3,700,A,64,2
62…174,2204341,C,3,700,A,64,2
62…174,2204472,C,3,700,A,64,2
62…174,2204372,C,3,700,B+,64,2
62…174,1999041,C,3,700,B+,64,2
62…174,2206111,C,3,701,C+,64,2
62…175,2204497,C,1,700,A,64,2
62…175,2204371,C,3,700,B,64,2
62…175,2204341,C,3,700,B,64,2
62…175,2204223,C,3,700,C+,64,2
62…175,2204372,C,3,700,C+,64,2
62…175,2204222,C,1,711,D,64,2
62…175,2206111,C,3,701,D+,64,2
62…175,2204451,C,3,700,W,64,2
62…176,2204281,C,3,700,B,64,2
62…176,2204497,C,1,700,C+,64,2
62…176,2204412,C,3,700,C+,64,2
62…176,2206111,C,3,701,D,64,2
62…176,2204372,C,3,700,D+,64,2
62…176,2204172,C,1,711,F,64,2
62…177,2204497,C,1,700,A,64,2
62…177,1420114,C,1,730,A,64,2
62…177,2999038,C,3,700,A,64,2
62…177,2204341,C,3,700,B+,64,2
62…177,2206111,C,3,702,C,64,2
62…177,2204412,C,3,700,C+,64,2
62…177,2204172,C,1,711,D,64,2
62…177,2204372,C,3,700,D+,64,2
62…177,2204232,C,3,700,D+,64,2
62…178,2204497,C,1,700,A,64,2
62…178,1999041,C,3,700,A,64,2
62…178,2204482,C,3,700,A,64,2
62…178,2204341,C,3,700,B,64,2
62…178,2206111,C,3,701,B,64,2
62…178,2204371,C,3,700,B+,64,2
62…178,2204372,C,3,700,B+,64,2
62…179,2204497,C,1,700,A,64,2
62…179,2714101,C,3,703,A,64,2
62…179,2204371,C,3,700,B,64,2
62…179,2204372,C,3,700,B+,64,2
62…179,2204341,C,3,700,B+,64,2
62…179,2204472,C,3,700,B+,64,2
62…179,2206111,C,3,701,C,64,2
62…180,2204497,C,1,700,A,64,2
62…180,2204341,C,3,700,B,64,2
62…180,1420114,C,1,730,B+,64,2
62…180,2204371,C,3,700,C,64,2
62…180,2204372,C,3,700,C,64,2
62…180,2204232,C,3,700,D,64,2
62…180,2204412,C,3,700,D+,64,2
62…180,2206111,C,3,702,D+,64,2
