STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
60…1,002999144,C,1,731,A,60,1
60…1,001999111,C,2,703,A,60,1
60…1,001420113,C,1,728,B,60,1
60…1,001999021,C,3,703,C+,60,1
60…1,001420111,C,3,702,D,60,1
60…1,002204171,C,3,700,D,60,1
60…1,001417167,C,3,702,F,60,1
60…1,001355111,C,3,715,P,60,1
60…2,002999144,C,1,731,A,60,1
60…2,001999111,C,2,703,A,60,1
60…2,001999021,C,3,703,B,60,1
60…2,002204171,C,3,700,B+,60,1
60…2,001420113,C,1,728,C+,60,1
60…2,001355112,C,3,706,C+,60,1
60…2,001417167,C,3,702,D,60,1
60…2,001420111,C,3,702,D+,60,1
60…2,001355111,C,3,99,P,60,1
60…3,002999144,C,1,731,A,60,1
60…3,001999111,C,2,703,A,60,1
60…3,001420113,C,1,728,C+,60,1
60…3,001999021,C,3,703,C+,60,1
60…3,001420111,C,3,702,F,60,1
60…3,002204171,C,3,700,F,60,1
60…3,001417167,C,3,702,F,60,1
60…3,001355111,C,3,715,P,60,1
60…4,002999144,C,1,731,A,60,1
60…4,001999111,C,2,703,A,60,1
60…4,001999021,C,3,703,B,60,1
60…4,001420113,C,1,728,B+,60,1
60…4,002204171,C,3,700,C,60,1
60…4,001420111,C,3,702,D+,60,1
60…4,001417167,C,3,702,D+,60,1
60…4,001355111,C,3,715,P,60,1
60…5,002999144,C,1,731,A,60,1
60…5,001999111,C,2,703,A,60,1
60…5,001420113,C,1,728,B+,60,1
60…5,001999021,C,3,703,C,60,1
60…5,002204171,C,3,700,C+,60,1
60…5,001420111,C,3,702,D,60,1
60…5,001417167,C,3,702,D,60,1
60…5,001355111,C,3,715,P,60,1
60…6,001420113,C,1,728,A,60,1
60…6,002999144,C,1,731,A,60,1
60…6,001999111,C,2,703,A,60,1
60…6,002204171,C,3,700,C,60,1
60…6,001420111,C,3,702,C+,60,1
60…6,001417167,C,3,702,C+,60,1
60…6,001999021,C,3,703,D+,60,1
60…6,001355111,C,3,715,P,60,1
60…7,002999144,C,1,731,A,60,1
60…7,001999111,C,2,703,A,60,1
60…7,001420113,C,1,728,B+,60,1
60…7,002204171,C,3,700,C,60,1
60…7,001999021,C,3,703,C,60,1
60…7,001420111,C,3,702,D,60,1
60…7,001417167,C,3,702,D+,60,1
60…7,001355111,C,3,715,P,60,1
60…8,002204171,C,3,700,A,60,1
60…8,002999144,C,1,731,A,60,1
60…8,001999111,C,2,703,A,60,1
60…8,001420113,C,1,728,B,60,1
60…8,001417167,C,3,702,D,60,1
60…8,001420111,C,3,702,F,60,1
60…8,001355111,C,3,715,P,60,1
60…8,001999021,C,3,703,W,60,1
60…9,002999144,C,1,731,A,60,1
60…9,001999111,C,2,703,A,60,1
60…9,001999021,C,3,703,B,60,1
60…9,001355112,C,3,706,B,60,1
60…9,001420113,C,1,728,B+,60,1
60…9,002204171,C,3,700,C,60,1
60…9,001417167,C,3,702,C+,60,1
60…9,001420111,C,3,702,D+,60,1
60…9,001355111,C,3,99,P,60,1
60…10,002999144,C,1,731,A,60,1
60…10,001999111,C,2,703,A,60,1
60…10,001420113,C,1,728,B,60,1
60…10,002204171,C,3,700,B+,60,1
60…10,001355112,C,3,706,C,60,1
60…10,001999021,C,3,703,C+,60,1
60…10,001420111,C,3,702,D,60,1
60…10,001417167,C,3,702,D,60,1
60…10,001355111,C,3,99,P,60,1
60…11,001420111,C,3,702,A,60,1
60…11,001420113,C,1,728,A,60,1
60…11,002204171,C,3,700,A,60,1
60…11,001417167,C,3,702,A,60,1
60…11,002999144,C,1,731,A,60,1
60…11,001999111,C,2,703,A,60,1
60…11,001999021,C,3,703,C+,60,1
60…11,001355111,C,3,715,P,60,1
60…12,001420113,C,1,728,A,60,1
60…12,002999144,C,1,731,A,60,1
60…12,001999111,C,2,703,A,60,1
60…12,001420111,C,3,702,B,60,1
60…12,001417167,C,3,702,B,60,1
60…12,001355112,C,3,706,B,60,1
60…12,001999021,C,3,703,B+,60,1
60…12,002204171,C,3,700,C+,60,1
60…12,001355111,C,3,99,P,60,1
60…13,002999144,C,1,731,A,60,1
60…13,001999111,C,2,703,A,60,1
60…13,001420113,C,1,728,B,60,1
60…13,001420111,C,3,702,C,60,1
60…13,001999021,C,3,703,C+,60,1
60…13,001417167,C,3,702,C+,60,1
60…13,002204171,C,3,700,D+,60,1
60…13,001355111,C,3,715,P,60,1
60…14,001420113,C,1,729,A,60,1
60…14,001999021,C,3,703,A,60,1
60…14,002999144,C,1,731,A,60,1
60…14,001355112,C,3,706,A,60,1
60…14,001999111,C,2,703,A,60,1
60…14,001420111,C,3,702,B,60,1
60…14,002204171,C,3,700,B+,60,1
60…14,001417167,C,3,702,B+,60,1
60…14,001355111,C,3,99,P,60,1
60…15,001420113,C,1,729,A,60,1
60…15,002999144,C,1,731,A,60,1
60…15,001999111,C,2,703,A,60,1
60…15,002204171,C,3,700,B+,60,1
60…15,001420111,C,3,702,C,60,1
60…15,001417167,C,3,702,C,60,1
60…15,001355112,C,3,706,C,60,1
60…15,001999021,C,3,703,C+,60,1
