STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
60…52,001420114,C,1,846,A,64,2
60…52,001999213,C,3,891,A,64,2
60…52,001175114,C,1,845,A,64,2
60…52,001420112,C,3,845,B,64,2
60…52,001355108,C,3,845,B+,64,2
60…52,002204499,C,2,843,C+,64,2
60…52,002204472,C,3,841,D,64,2
60…53,001420114,C,1,846,A,64,2
60…53,001999213,C,3,891,A,64,2
60…53,001420112,C,3,845,B+,64,2
60…53,001999041,C,3,890,B+,64,2
60…53,001417267,C,3,845,D+,64,2
60…53,002204472,C,3,841,F,64,2
60…65,001420114,C,1,846,A,64,2
60…65,001355108,C,3,845,B+,64,2
60…65,002204472,C,3,841,F,64,2
60…65,002204232,C,3,841,W,64,2
60…65,002204371,C,3,841,W,64,2
60…65,002206111,C,3,830,W,64,2
60…77,003751111,C,3,845,A,64,2
60…77,001175114,C,1,845,A,64,2
60…77,001355108,C,3,845,B,64,2
60…77,001420112,C,3,845,B+,64,2
60…77,002204499,C,2,843,C+,64,2
60…77,001420114,C,1,846,C+,64,2
60…77,001355103,C,3,845,C+,64,2
60…77,002204371,C,3,841,D,64,2
60…79,001420114,C,1,846,A,64,2
60…79,001999041,C,3,890,C+,64,2
60…79,001417267,C,3,845,D+,64,2
60…80,002204472,C,3,841,C,64,2
60…80,002204371,C,3,841,D+,64,2
60…80,002204232,C,3,841,D+,64,2
60…81,001420111,C,3,845,B,64,2
60…81,002204232,C,3,841,C,64,2
60…81,002204482,C,3,841,C,64,2
60…81,001999021,C,3,890,C+,64,2
60…81,001417267,C,3,845,C+,64,2
60…81,002204371,C,3,841,D,64,2
