STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
60…1,002204272,C,1,711,A,61,2
60…1,002204222,C,1,711,A,61,2
60…1,001175153,C,1,711,A,61,2
60…1,001208111,C,3,705,C,61,2
60…1,001417267,C,3,700,C,61,2
60…1,002204241,C,3,700,C+,61,2
60…1,002204223,C,3,700,D+,61,2
60…1,002204281,C,3,700,D+,61,2
60…2,001208111,C,3,705,A,61,2
60…2,002204272,C,1,711,A,61,2
60…2,001999012,C,3,700,B,61,2
60…2,002204241,C,3,700,B+,61,2
60…2,002204222,C,1,711,B+,61,2
60…2,002204232,C,3,700,C,61,2
60…2,002204223,C,3,700,C,61,2
60…2,002204281,C,3,700,C,61,2
60…3,001175163,C,1,714,A,61,2
60…3,002204272,C,1,711,A,61,2
60…3,002204241,C,3,700,B,61,2
60…3,002204232,C,3,700,C,61,2
60…3,002204222,C,1,711,C,61,2
60…3,002204281,C,3,700,C,61,2
60…3,001208111,C,3,705,D,61,2
60…3,002204172,C,1,711,D,61,2
60…3,002204223,C,3,700,D,61,2
60…3,001417267,C,3,700,D+,61,2
60…4,001208111,C,3,705,A,61,2
60…4,002204272,C,1,711,A,61,2
60…4,002204222,C,1,711,A,61,2
60…4,001999012,C,3,700,B,61,2
60…4,001371111,C,1,707,B,61,2
60…4,002204241,C,3,700,B,61,2
60…4,002204232,C,3,700,C,61,2
60…4,002204281,C,3,700,C,61,2
60…4,002204223,C,3,700,C+,61,2
60…5,001208111,C,3,705,A,61,2
60…5,002204272,C,1,711,A,61,2
60…5,002204222,C,1,711,A,61,2
60…5,001355112,C,3,704,B,61,2
60…5,002204241,C,3,700,B,61,2
60…5,002204223,C,3,700,C,61,2
60…5,002204281,C,3,700,C,61,2
60…5,002204232,C,3,700,D,61,2
60…6,002204272,C,1,711,A,61,2
60…6,002204222,C,1,711,A,61,2
60…6,001208111,C,3,705,B,61,2
60…6,001371111,C,1,707,B,61,2
60…6,002204241,C,3,700,B,61,2
60…6,001999012,C,3,700,B+,61,2
60…6,002204281,C,3,700,B+,61,2
60…6,002204232,C,3,700,C+,61,2
60…6,002204223,C,3,700,C+,61,2
60…7,002204272,C,1,711,A,61,2
60…7,002204222,C,1,711,A,61,2
60…7,001999012,C,3,700,B+,61,2
60…7,001208111,C,3,705,C,61,2
60…7,002204241,C,3,700,C+,61,2
60…7,002204223,C,3,700,D,61,2
