STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
61…90,002032303,C,3,700,A,64,0
61…90,001355209,C,3,700,C,64,0
61…91,002032303,C,3,700,A,64,0
61…91,003751111,C,3,700,A,64,0
61…92,001387101,C,3,700,A,64,0
61…92,001355201,C,3,701,C+,64,0
61…93,003751111,C,3,700,A,64,0
61…93,001420112,C,3,700,B,64,0
61…94,003751111,C,3,700,A,64,0
61…94,001355209,C,3,700,C+,64,0
61…97,002032303,C,3,700,A,64,0
61…97,003751111,C,3,700,A,64,0
61…98,001420112,C,3,700,C,64,0
61…101,001355201,C,3,701,A,64,0
61…101,001420112,C,3,700,B+,64,0
61…102,001387103,C,3,700,A,64,0
61…102,001417168,C,3,700,C,64,0
61…103,001420112,C,3,700,B,64,0
61…103,001355201,C,3,701,C+,64,0
61…106,002714101,C,3,700,A,64,0
61…106,001355201,C,3,701,C+,64,0
61…109,001387103,C,3,700,A,64,0
61…109,001417168,C,3,700,C+,64,0
61…113,001355201,C,3,701,A,64,0
61…113,001420112,C,3,700,B+,64,0
61…114,001387102,C,3,700,A,64,0
61…114,001355209,C,3,700,C+,64,0
61…115,001355201,C,3,701,A,64,0
61…115,001420112,C,3,700,B,64,0
61…120,003751111,C,3,700,A,64,0
61…120,001420112,C,3,700,B,64,0
61…121,003751111,C,3,700,A,64,0
61…121,001371111,C,1,700,A,64,0
61…121,001355201,C,3,701,A,64,0
61…124,001387103,C,3,700,A,64,0
61…124,001355201,C,3,700,C+,64,0
61…125,001420112,C,3,700,B,64,0
61…125,001355201,C,3,701,B,64,0
61…127,002714101,C,3,700,A,64,0
61…127,001355201,C,3,701,C+,64,0
61…134,003751111,C,3,700,A,64,0
61…134,001371111,C,1,700,A,64,0
61…134,001387103,C,3,700,A,64,0
61…135,001387103,C,3,700,A,64,0
61…135,001420112,C,3,700,B,64,0
61…143,003751111,C,3,700,A,64,0
61…143,001420112,C,3,700,B+,64,0
61…144,001387103,C,3,700,A,64,0
61…144,001417168,C,3,700,D,64,0
61…145,001387103,C,3,700,A,64,0
61…145,001417168,C,3,700,D+,64,0
61…146,003751111,C,3,700,A,64,0
61…146,001371111,C,1,700,B+,64,0
61…146,001355201,C,3,701,B+,64,0
