STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
61…88,001387104,C,3,700,A,63,0
61…88,002714101,C,3,700,A,63,0
61…90,002714101,C,3,700,A,63,0
61…90,001387102,C,3,700,B+,63,0
61…91,001387104,C,3,700,A,63,0
61…91,002714101,C,3,700,B+,63,0
61…92,001387104,C,3,700,A,63,0
61…92,002714101,C,3,700,A,63,0
61…93,001387104,C,3,700,A,63,0
61…93,002714101,C,3,700,B+,63,0
61…94,001387104,C,3,700,A,63,0
61…94,002714101,C,3,700,B+,63,0
61…96,001387104,C,3,700,A,63,0
61…96,002714101,C,3,700,B+,63,0
61…97,001387104,C,3,700,A,63,0
61…97,002714101,C,3,700,B+,63,0
61…100,001387102,C,3,700,A,63,0
61…100,002714101,C,3,700,B+,63,0
61…101,001387104,C,3,700,A,63,0
61…101,002714101,C,3,700,A,63,0
61…102,001387104,C,3,700,B+,63,0
61…102,002714101,C,3,700,B+,63,0
61…103,001387104,C,3,700,A,63,0
61…103,002714101,C,3,700,A,63,0
61…105,001387104,C,3,700,A,63,0
61…105,002714101,C,3,700,A,63,0
61…108,001387104,C,3,700,A,63,0
61…108,002714101,C,3,700,A,63,0
61…109,001387104,C,3,700,B+,63,0
61…109,002714101,C,3,700,B+,63,0
61…113,001387104,C,3,700,A,63,0
61…113,002714101,C,3,700,A,63,0
61…114,001387104,C,3,700,A,63,0
61…114,002714101,C,3,700,A,63,0
61…115,001387104,C,3,700,A,63,0
61…115,002714101,C,3,700,A,63,0
61…121,001387104,C,3,700,A,63,0
61…121,002714101,C,3,700,A,63,0
61…125,002714101,C,3,700,A,63,0
61…125,001387104,C,3,700,B+,63,0
61…129,001387102,C,3,700,A,63,0
61…129,002714101,C,3,700,A,63,0
61…130,001387104,C,3,700,A,63,0
61…130,002714101,C,3,700,A,63,0
61…132,001387102,C,3,700,A,63,0
61…132,002714101,C,3,700,B+,63,0
61…133,002714101,C,3,700,A,63,0
61…133,001387104,C,3,700,B+,63,0
61…134,002714101,C,3,700,A,63,0
61…134,001387104,C,3,700,B+,63,0
61…135,001387104,C,3,700,A,63,0
61…135,002714101,C,3,700,A,63,0
61…141,002714101,C,3,700,A,63,0
61…141,001387104,C,3,700,B+,63,0
61…143,001387104,C,3,700,A,63,0
61…143,002714101,C,3,700,A,63,0
61…145,001387104,C,3,700,A,63,0
61…145,002714101,C,3,700,A,63,0
61…146,002714101,C,3,700,A,63,0
61…146,001387104,C,3,700,B+,63,0
