STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
61…88,001175165,C,1,711,A,61,2
61…88,002204122,C,1,712,A,61,2
61…88,001999141,C,3,703,A,61,2
61…88,001999035,C,3,701,A,61,2
61…88,001355112,C,3,702,C,61,2
61…88,002204121,C,3,700,C+,61,2
61…88,002204111,C,3,700,D+,61,2
61…88,001417167,C,3,700,F,61,2
61…88,002204172,C,1,711,F,61,2
61…89,001175165,C,1,711,A,61,2
61…89,002708102,C,3,702,A,61,2
61…89,002204122,C,1,711,A,61,2
61…89,002204121,C,3,700,A,61,2
61…89,001420114,C,1,714,A,61,2
61…89,001420112,C,3,700,B,61,2
61…89,002204111,C,3,700,B,61,2
61…89,001417168,C,3,702,C,61,2
61…89,002204172,C,1,712,C,61,2
61…90,001175163,C,1,714,A,61,2
61…90,002204122,C,1,712,B,61,2
61…90,002708102,C,3,702,B+,61,2
61…90,001999035,C,3,701,B+,61,2
61…90,002204121,C,3,700,C+,61,2
61…90,001417167,C,3,700,D,61,2
61…90,001355113,C,3,703,D+,61,2
61…90,002204111,C,3,700,D+,61,2
61…90,002204172,C,1,711,F,61,2
61…91,001175165,C,1,711,A,61,2
61…91,001999141,C,3,703,A,61,2
61…91,001999035,C,3,701,A,61,2
61…91,002204122,C,1,712,B+,61,2
61…91,001420114,C,1,725,C+,61,2
61…91,002204121,C,3,700,C+,61,2
61…91,001420112,C,3,700,D,61,2
61…91,002204111,C,3,700,D+,61,2
61…91,002204172,C,1,711,F,61,2
61…92,001175123,C,1,712,A,61,2
61…92,002204122,C,1,712,B,61,2
61…92,002204121,C,3,700,B,61,2
61…92,001420114,C,1,726,B+,61,2
61…92,001999035,C,3,701,B+,61,2
61…92,001355112,C,3,702,C,61,2
61…92,002204111,C,3,700,C,61,2
61…92,003751111,C,3,700,C+,61,2
61…92,002204172,C,1,711,D,61,2
61…92,001420112,C,3,700,F,61,2
61…93,001175165,C,1,711,A,61,2
61…93,002204122,C,1,712,A,61,2
61…93,001999035,C,3,701,B+,61,2
61…93,001355112,C,3,702,C+,61,2
61…93,002204121,C,3,700,D+,61,2
61…93,001417167,C,3,700,F,61,2
61…93,002204111,C,3,700,F,61,2
61…93,002204101,A,3,701,U,61,2
61…94,002204122,C,1,711,A,61,2
61…94,001999035,C,3,701,A,61,2
61…94,001355112,C,3,702,C+,61,2
61…94,002204121,C,3,700,C+,61,2
61…94,001420111,C,3,700,D,61,2
61…94,002204111,C,3,700,D,61,2
61…94,002204101,A,3,702,S,61,2
61…94,001417168,C,3,702,W,61,2
61…95,001420114,C,1,725,A,61,2
61…95,001175165,C,1,711,B,61,2
61…95,002204111,C,3,700,B,61,2
61…95,002204122,C,1,711,B+,61,2
61…95,001999035,C,3,701,B+,61,2
61…95,001417168,C,3,702,C,61,2
61…95,002204121,C,3,700,C+,61,2
61…95,002204172,C,1,712,C+,61,2
61…95,001355113,C,3,703,D+,61,2
61…95,001420112,C,3,700,D+,61,2
61…96,001175123,C,1,712,A,61,2
61…96,003751111,C,3,700,A,61,2
61…96,002204122,C,1,712,A,61,2
61…96,001355112,C,3,702,C,61,2
61…96,002204121,C,3,700,C+,61,2
61…96,002204172,C,1,711,D,61,2
61…96,002204111,C,3,700,D,61,2
61…96,001420111,C,3,700,D+,61,2
61…96,001417168,C,3,702,D+,61,2
61…97,001175165,C,1,711,A,61,2
61…97,002204122,C,1,712,A,61,2
61…97,001999141,C,3,703,A,61,2
61…97,001999035,C,3,701,A,61,2
61…97,001420114,C,1,725,B,61,2
61…97,001417168,C,3,702,C,61,2
61…97,002204121,C,3,700,C+,61,2
61…97,002204111,C,3,700,C+,61,2
61…97,001420112,C,3,700,D+,61,2
61…97,002204172,C,1,711,F,61,2
61…98,001175163,C,1,714,A,61,2
61…98,003751111,C,3,700,A,61,2
61…98,001355113,C,3,703,A,61,2
61…98,002204121,C,3,700,B,61,2
61…98,001420111,C,3,700,C,61,2
61…98,002204111,C,3,700,C,61,2
61…98,002204122,C,1,712,C+,61,2
61…98,001417168,C,3,702,D,61,2
61…98,002204172,C,1,711,F,61,2
61…99,001175165,C,1,711,B+,61,2
61…99,002204122,C,1,711,B+,61,2
61…99,002204121,C,3,700,C,61,2
61…99,001417168,C,3,702,F,61,2
61…99,001355113,C,3,703,F,61,2
61…99,001420114,C,1,725,F,61,2
61…99,001999035,C,3,701,F,61,2
61…99,002204172,C,1,712,F,61,2
61…99,002204111,C,3,700,F,61,2
61…99,001420112,C,3,700,W,61,2
61…100,001999035,C,3,701,A,61,2
61…100,001420114,C,1,725,B,61,2
61…100,002204122,C,1,712,B,61,2
61…100,001417168,C,3,702,C,61,2
61…100,002204111,C,3,700,C,61,2
